Title,URL,Status,Category,Source,Tags,Archive,Created at,Favorite
Document understanding,"API,ai.google,📄 Article,No,Not started,No,"June 17,2025 5:33 AM"
Image understanding,"API,ai.google,📄 Article,No,Not started,No,"June 17,2025 5:33 AM"
Video understanding,,ai.google,📄 Article,No,Not started,No,"June 17,2025 5:33 AM"
Python Development Workflow for Humans — pipenv 2025.0.3 documentation,,pipenv.pypa,📄 Article,No,Not started,No,"June 17,2025 5:42 AM"
Make Notion search great again: Vector Database,,dev,📄 Article,No,Not started,No,"June 17,2025 5:55 AM"
Simple Timeline Tracker,,,,No,Not started,No,"June 17,2025 6:47 AM"
Timeline of Events Template,,,,No,Not started,No,"June 17,2025 6:48 AM"
gotfreefax,"Business,gotfreefax,🔖 Bookmark,No,Completed,No,"June 21,2025 7:26 AM"
faxzero,"FREE!,faxzero,🔖 Bookmark,No,Not started,No,"June 21,2025 7:27 AM"
DOR: Indiana Department of Revenue,"Government Site,in,🔖 Bookmark,No,Not started,No,"June 24,2025 2:41 AM"
DOR: Current Year Individual Tax Forms,"Business,in,🔖 Bookmark,No,Not started,No,"June 24,2025 2:47 AM"
DOR: Business Tax Forms,"Business,in,🔖 Bookmark,No,Not started,No,"June 24,2025 2:48 AM"
DWD: Indiana Unemployment: Unemployment for Individuals,,in,🔖 Bookmark,No,Not started,No,"June 24,2025 2:50 AM"
DWD: Indiana Unemployment: Work Search,,in,🔖 Bookmark,No,Not started,No,"June 24,2025 3:47 AM"
DWD: Indiana Unemployment: Forms and Downloads,,in,🔖 Bookmark,No,Not started,No,"June 24,2025 3:47 AM"
DWD: Employer Training Grant,,in,🔖 Bookmark,No,Not started,No,"June 24,2025 3:49 AM"
DOR: Mail in Tax Forms,,in,📝 Highlight,No,Not started,No,"June 24,2025 3:49 AM"
DOR: Payment Plans,,in,🔖 Bookmark,No,Not started,No,"June 24,2025 3:51 AM"
DOR: Free File,,in,🔖 Bookmark,No,Not started,No,"June 24,2025 3:51 AM"
DOR: Tax Practitioners FAQ,,in,🔖 Bookmark,No,Not started,No,"June 24,2025 3:52 AM"
DOR: Power of Attorney,,in,🔖 Bookmark,No,Not started,No,"June 24,2025 3:53 AM"
default template,Finance,netcredit,🔖 Bookmark,Yes,In progress,No,"July 16,2025 2:56 PM"
