Line Item,Part,Type,Index Main,Index Name,Schedule C Name,Parent item,Sub-item
Part II - Expenses-20b. Rent or lease: Other business property,Part 2,Expense,,,SchC,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.csv),
Part II - Expenses-25. Utilities,Part 2,Expense,,,SchC,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.csv),
Part II - Expenses-26. Wages (less employment credits),Part 2,Expense,,,SchC,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.csv),
Part III - Cost of Goods Sold-39. Other costs,Part 3,COGS,,,SchC,Part III - Cost of Goods Sold (Part%20III%20-%20Cost%20of%20Goods%20Sold%201dcf84a044028093b22afad8998afe14.csv),
Part II - Expenses-21. Repairs and maintenance,Part 2,Expense,,,SchC,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.csv),
Part IV - Information on Your Vehicle-44c. Other,Part 4,Vehicle,,,SchC,Part IV - Information on Your Vehicle (Part%20IV%20-%20Information%20on%20Your%20Vehicle%207d1651f2defb42df875bda705d80d79e.csv),
"Part IV - Information on Your Vehicle-44. Of the total number of miles you drove your vehicle during 2023,Part IV - Information on Your Vehicle (Part%20IV%20-%20Information%20on%20Your%20Vehicle%207d1651f2defb42df875bda705d80d79e.csv),,enter the number of miles you used your vehicle for:",,Part 4,,SchC
"Part IV - Information on Your Vehicle-47b. If 'Yes,Part IV - Information on Your Vehicle (Part%20IV%20-%20Information%20on%20Your%20Vehicle%207d1651f2defb42df875bda705d80d79e.csv),,' is the evidence written?",,Part 4,,SchC
Part IV - Information on Your Vehicle-44a. Business,Part 4,Vehicle,,,SchC,Part IV - Information on Your Vehicle (Part%20IV%20-%20Information%20on%20Your%20Vehicle%207d1651f2defb42df875bda705d80d79e.csv),
"Part IV - Information on Your Vehicle-43. When did you place your vehicle in service for business purposes? (month,,SchC,day,year)",Part IV - Information on Your Vehicle (Part%20IV%20-%20Information%20on%20Your%20Vehicle%207d1651f2defb42df875bda705d80d79e.csv),,Part 4
Part IV - Information on Your Vehicle-47a. Do you have evidence to support your deduction?,Part 4,Vehicle,,,SchC,Part IV - Information on Your Vehicle (Part%20IV%20-%20Information%20on%20Your%20Vehicle%207d1651f2defb42df875bda705d80d79e.csv),
Part IV - Information on Your Vehicle-46. Do you (or your spouse) have another vehicle available for personal use?,Part 4,Vehicle,,,SchC,Part IV - Information on Your Vehicle (Part%20IV%20-%20Information%20on%20Your%20Vehicle%207d1651f2defb42df875bda705d80d79e.csv),
Part IV - Information on Your Vehicle-44b. Commuting,Part 4,Vehicle,,,SchC,Part IV - Information on Your Vehicle (Part%20IV%20-%20Information%20on%20Your%20Vehicle%207d1651f2defb42df875bda705d80d79e.csv),
Part IV - Information on Your Vehicle-45. Was your vehicle available for personal use during off-duty hours?,Part 4,Vehicle,,,SchC,Part IV - Information on Your Vehicle (Part%20IV%20-%20Information%20on%20Your%20Vehicle%207d1651f2defb42df875bda705d80d79e.csv),
"Part V - Other Expenses-48. Expenses (list below,,,including the description and amount for each expense not included in Part II)",,Part 5,,SchC
Part X - 1. Asset Account,Part X,Other,,,SchC,,
Part X - 2. Liability Account,Part X,Other,,,SchC,,
Part X - 3. Equity Account,Part X,Other,,,SchC,,
Part II - Expenses,Part 2,Part II - Expenses-08. Advertising (Part%20II%20-%20Expenses-08%20Advertising%20a2362e354cff430c9108dca91227d7bc.csv),,,SchC,,"Part II - Expenses-10. Commissions and fees (Part%20II%20-%20Expenses-10%20Commissions%20and%20fees%203c43106b8d6648c5a4f3e82601297126.csv)
Part X - 5. Personal Expenses,Part X,Other,,,SchC,,
Part III - Cost of Goods Sold,Part 3,Part III - Cost of Goods Sold-34. Was there any change in determining quantities,,,SchC,,"Part III - Cost of Goods Sold-33. Method(s) used to value closing inventory (Part%20III%20-%20Cost%20of%20Goods%20Sold-33%20Method(s)%20used%20to%2072020ba97d424f05bc552371ce9a21b7.csv)
