Account Name,Account Type,Account Code,Tax Forms,Business Type,Tax Line,Parent item,Sub-item
Vehicle Gas,Expense,051201,All,All,,Vehicle Expenses (Vehicle%20Expenses%201d4f84a04402818cb8d7d6e2bcf914c4.md),
Payroll Tax State,Tax Expense,051911,All,All,,Payroll Taxes (Payroll%20Taxes%201d4f84a0440281ee8707ce6c7c2c3f98.md),
Vehicle Insurance,Expense,051204,All,All,,Vehicle Expenses (Vehicle%20Expenses%201d4f84a04402818cb8d7d6e2bcf914c4.md),
Office Shipping,Expense,051503,All,All,,Office Expenses (Office%20Expenses%201d4f84a0440281abbe36e4490f20cfaa.md),
LIABILITIES_Long-Term,Liability,073000,All,All,,LIABILITIES (LIABILITIES%201d4f84a04402813f9b29e41cd2a6c7b7.md),
EQUITY Pay & Personal,Equity,082000,All,All,,EQUITY (EQUITY%201d4f84a0440281429003f2dbd412d68c.md),
Office Rent,Expense,051501,All,All,,Office Expenses (Office%20Expenses%201d4f84a0440281abbe36e4490f20cfaa.md),
Construction Revenue,Income,031000,ScheduleC,Construction,,INCOME (INCOME%201d4f84a0440281de8139de8c663a79b5.md),
Payroll Tax Soc. Sec.,Tax Expense,051914,All,All,,Payroll Taxes (Payroll%20Taxes%201d4f84a0440281ee8707ce6c7c2c3f98.md),
ASSETS_Other,Asset,062000,All,All,,ASSETS (ASSETS%201d4f84a044028180b0b5c0ab43fa9587.md),Retainage Receivable (Retainage%20Receivable%201d4f84a044028114b226e93e89b2fcd4.md)
Office Purchase,Expense,051504,All,All,,Office Expenses (Office%20Expenses%201d4f84a0440281abbe36e4490f20cfaa.md),
Insurance Workers Compensation,Expense,051302,%20Liability)%201d4f84a0440281a2a34af4a3d921e8aa.md)",All,,"Insurance (Workers' Comp,Liability) (Insurance%20(Workers'%20Comp
RECEIVABLES,Asset,061100,All,All,,ASSETS_Current (ASSETS_Current%201d4f84a0440281c0a416faec05c8128e.md),
ASSETS_Fixed,Asset,063000,All,All,,ASSETS (ASSETS%201d4f84a044028180b0b5c0ab43fa9587.md),
