CHARGE NAME,FELONY,MISD,CITATION,Condition," Condition Met?"," 2"," 3",BGCK Conditions,Review Status
"Kidnapping,aggravated assault,murder,unlawful imprisonment,and burglary (when the offense includes evidence of sexual motivation)",,,,,No
Drug Testing,,,,,No,,,,Not started
Weapons (unlawful carrying/use firearm or weapon),,,,,No,,,,Not started
Social Security Number Trace,,,,,No,,,,Not started
"Theft/Fraud (fare evasion,petty theft,theft by deception,shoplifting,fail to return rented property,worthless check; theft by check,hot check,NSF check)",,
"       Note:  Minor misdemeanor in Ohio will be treated the same as Infractions.",,,,,No,,,,Not started
Withdrawn to Lower Court - refer to related case,,,,,No,Dependent on charge,,,Not started
Infraction-level cases are adjudicated by crime as noted immediately below:,,,,,No,,,,Not started
Waived for Court - refer to related case,,,,,No,Dependent on charge,,,Not started
Stet Docket,,,,,No,Dependent on charge,,,Not started
Pre-Trial Diversion/Intervention,,,,,No,Dependent on charge,,,Not started
Infractions - Infraction  /Violation / Ordinance Violation / Summary Charges / Traffic / Unclassified / Charge Class Unknown (below Felony and Misdemeanor),,,,,No,,,,Not started
Stricken with Leave - The judge removes the case from the docket while reserving the right to recall or reinstate the case at a later date.,,,,,No,Dependent on charge,,,Not started
"Conditional Discharge - A sentence passed by a court whereby the defendant is not punished,provided they comply with certain conditions.",,,,,No,Dependent on charge,,
"Continued without Finding - The continuance of an active case to a specified subsequent date without a finding of guilt,dependent on actions by the court.",,,,,No,Dependent on charge,,
"Bail/Bond  Forfeiture ",,,,,No,,,,Not started
Deferred Prosecution - Postponing prosecution; this does not mean to omit or dismiss.,,,,,No,Dependent on charge,,,Not started
"Deferred Adjudication - Postponing a judgment,this does not mean to omit or dismiss.",,,,,No,Dependent on charge,,
Dismissed - The judge orders the disposing of an action without trial of the issues involved or without any further consideration or hearing,DO NOT REPORT,DO NOT REPORT,DO NOT REPORT,,No,,,,Not started
"Diversion Granted  - Pre-trial intervention,first-time or petty criminal offenders are not subjected to the regular judicial process,usually placed on probation for no more than 1 yr.  Not an admission of guilt or a conviction ",,,,,No,Dependent on charge,
Fugitive File,,,,,No,,X,,Not started
Plea in Abeyance - (Utah) A plea submitted by the court because the defendant is not present in court.,,,,,No,Dependent on charge,,,Not started
No Billed,DO NOT REPORT,DO NOT REPORT,DO NOT REPORT,,No,,,,Not started
Extradition - refer to related case,,,,,No,Dependent on charge,,,Not started
"Violence (assault,battery,domestic violence/battery,injury upon child)",,,,,No,
OTHER DISPOSITIONS,,,,,No,,,,Not started
Acquitted - A judge or jury finds that the evidence proves that the defendant did not commit the crime.,DO NOT REPORT,DO NOT REPORT,DO NOT REPORT,,No,,,,Not started
Not Guilty - A judge or jury finds that the evidence does not provide beyond a reasonable doubt that the defendant committed the offense.,DO NOT REPORT,DO NOT REPORT,DO NOT REPORT,,No,,,,Not started
Nol Pros or Nolle Prosse(d)- The state�s attorney declares that he or she will not prosecute a case or some charge on a case any further.,DO NOT REPORT,DO NOT REPORT,DO NOT REPORT,,No,,,,Not started
Withdrawn - The state's attorney or judge withdraws charges against a defendant.,DO NOT REPORT,DO NOT REPORT,DO NOT REPORT,,No,,,,Not started
Misdemeanor level non-convictions and deferrals/diversions are adjudicated as noted immediately below:,,,,,No,,,,Not started
OPEN DISPOSITIONS,,,,,No,,,,Not started
"Weapons (make/possess bombs,illegal transport/sell/alter/discharge/possession firearm/weapon,conceal)",,,," ",No,,
"Sex Crimes (rape,sexual battery/assault,sex abuse,child molestation,voyeurism,sexual coercion,sexually explicit conduct)",,,
"Theft/Fraud (cold/hot/NSF/theft by check over $300,larceny,welfare/unemployment fraud,credit card/check fraud,theft by deception,counterfeiting,robbery,possession of stolen property,burglary,possession of burglary tools
"Sex Crimes (unlawful sex with a minor,statutory rape,child/illegal pornography,corruption of a minor)",,,,,No,
Theft/Fraud (cold/hot/NSF/theft by check $300 OR LESS),,,,,No,,,,Not started
Theft/Fraud (cold/hot/NSF/theft by check - amount not specified),,,,,No,,,,Not started
"Harassment/Threats (stalking,criminal/terroristic threats,unwanted communication,menacing,intimidation,invasion of privacy)",,,,
Neglect/Cruelty/Abuse (child/elder/dependent adult abuse/neglect),,,,,No,,,,Not started
Failure to Register as a Sex Offender (failure to notify registry of address/name change),,,,,No,,,,Not started
"Animals (cruelty to animal,animal fights)",,,,,No,,,
"Misdemeanor Level Convictions ",,,,,No,,,,Not started
Ten or more traffic-related cases that would adjudicate as meets requirements,,,,,No,X,,,Not started
"Computer/Electronics/Data (hacking,identity theft,skimming,unauthorized access,illegal use/possession of electronic devices,phishing,interception of communication)",,,
Attempt/Conspiracy - Adjudicate based on nature of crime,,,,,No,Dependent on charge,,,Not started
Three or more cases (excluding traffic) that would adjudicate as meets requirements,,,,,No,,,,Not started
No Plea - The defendant does not submit a statement of Not Guilty.,,,,,No,,,,Not started
Guilty - A judge or jury finds that the evidence proves beyond a reasonable doubt that the defendant committed the offense or the defendant pleads and is found guilty.,,,,,No,,,,Not started
No Contest/ Nolo Contendere - A statement that the defendant will not contest a charge made by the government.,,,,,No,,,,Not started
"       For minor misdemeanors in Ohio,please see Infractions section below.",,,,,No,,,
Extradition - Refer to related case,,,,,No,,,,Not started
Withdrawn to Lower Court - Refer to related case,,,,,No,,,,Not started
CONVICTION DISPOSITIONS,,,,,No,,,,Not started
Waived for Court - Refer to related case,,,,,No,,,,Not started
Misdemeanors - less serious than felony and sanctioned by less severe penalties,,,,,No,,,,Not started
Pending / Active - a case that is still in process in the courts without a disposition.,,,,,No,X - if meets or needs review as a conviction (EE will have 30 days to rectify warrant or will be deactivated),X - if DNM as a conviction,,Not started
"Theft/Fraud (larceny,welfare/unemployment fraud,credit card/check fraud,theft by deception,worthless  checks,counterfeiting,robbery,possession of stolen property,burglary,embezzlement
"Traffic (hit and run with injury or death,vehicular assault/manslaughter/homicide,reckless/wanton endangerment,repeat offender)",,,,,No,
"Violence (assault,battery,bodily injury,offensive touching,attempted murder,murder,domestic violence,violence against a child,criminal confinement)",
"Weapons (explosives,make/possess bombs,illegal transport/sell/alter/discharge/possession firearm/weapon,conceal)",,,," ",No,
"Trespassing (burglary,use of a facility for illegal purposes,breaking and entering)",,,,,No,,
Uttering a Forged Instrument,,,,,No,,,,Not started
"Sex Crimes (rape,statutory rape,sexual battery/assault,unlawful sex with a minor,child pornography,sexually explicit conduct,corruption of a minor,illegal pornography,sexual coercion,sex abuse
Felony level non-convictions and deferrals/diversions are adjudicated as noted immediately below:,,,,,No,,,,Not started
Warrant / Capias - a case with an active warrant.,,,,,No,X - if meets or needs review as a conviction (EE will have 30 days to rectify warrant or will be deactivated),X - if DNM as a conviction,,Not started
"Interference/Evade/Obstruction (aid/abet,elude/escape,coercion,misprison of a felony,harbor,conceal/destroy/tamper evidence,bail jumping,failure to identify,false report,perjury)"
"Drugs (possession,use,maintaining a drug house,paraphernalia) ",,,,,No,
"Property Damage (vandalism,malicious destruction/mischief,arson)",,,,,No,,
"Harassment/Threats (stalking,criminal/terroristic threats,unwanted communication,intimidation)",,,,,No,
Kidnapping (illegally transporting a minor),,,,,No,,,,Not started
Persistent Offender Enhancement,,,,,No,,,,Not started
